Administrator,,,Proxy_admin1,,,,,,
Report Created,,,"May 2, 2018 02:37:28 PM",,,,,,
,,,,,,,,,
No.,Date,Time,User,URL,Policy Action,Total Bytes,URL Category,Threat Category,Suspicious Content
1,2018/03/27,7:53:19 AM,User1,google.co.za,Allowed,16074,Search Engine,None,0
2,2018/03/27,7:59:42 AM,User2,yahoo-mail.com,Allowed,18051,Webmail,None,0
3,2018/03/27,8:02:49 AM,User3,facebook.com,Allowed,24268,Social Media,None,0
4,2018/03/27,8:07:04 AM,User3,linkedin.com,Allowed,8051,Social Media,None,0
5,2018/03/27,8:07:04 AM,User3,twitter.com,Allowed,8166,Social Media,None,0
6,2018/03/27,8:24:36 AM,User4,hotmail.com,Allowed,8159,Webmail,None,0
7,2018/03/27,8:46:17 AM,User1,ieee.org,Allowed,17157,Research,None,0
8,2018/03/27,8:46:53 AM,User1,ACM.org,Allowed,12869,Research,None,0
9,2018/03/27,8:59:46 AM,User2,www.journals.elsevier.com/energy-research-and-social-science/,Allowed,17157,Research,None,0
10,2018/03/27,9:01:14 AM,User2,phys.org,Allowed,24268,Research,None,0
11,2018/03/27,9:28:04 AM,User3,pinterest.com,Allowed,27935,Social Media,None,0
12,2018/03/27,9:47:24 AM,User4,www.thebalancecareers.com/what-to-do-when-you-hate-your-job-2060644,Allowed,8159,General Browsing,None,0
13,2018/03/27,9:49:47 AM,User4,ndoherty.com/job-hate/,Allowed,3579,General Browsing,None,0
14,2018/03/27,9:57:41 AM,User4,onlinegambling.com,Allowed,17157,General Browsing,None,0
15,2018/03/27,10:28:04 AM,User3,youtube.com/search?cat-videos,Allowed,147082,Videos,None,0
16,2018/03/27,10:31:14 AM,User2,sabs.co.za,Allowed,12869,Government,None,0
17,2018/03/27,10:53:24 AM,User4,wikileaks.org,Allowed,8159,General Browsing,None,0
18,2018/03/27,11:14:53 AM,User4,anonofficial.com,Allowed,16074,General Browsing,None,0
19,2018/03/27,11:59:53 AM,User1,gmail.com,Allowed,8166,Webmail,None,0
20,2018/03/27,12:03:24 PM,User2,linkedin.com,Allowed,16074,Social Media,None,0
21,2018/03/27,12:07:46 PM,User4,hotmail.com,Allowed,8159,Webmail,None,0
22,2018/03/27,1:36:24 PM,User3,funnyflashgames.com,Allowed,74952,General Browsing,None,0
23,2018/03/27,1:42:36 PM,User4,how-to.com/win-at-online-gambling,Allowed,14751,General Browsing,None,0
24,2018/03/27,1:57:01 PM,User3,www.gyd900yhllcfci.info,Not allowed to browse this Malicious URL,287,Suspected Spyware or Adware,None,70
25,2018/03/27,2:04:07 PM,User1,gmail.com,Allowed,8166,Webmail,None,0
26,2018/03/27,2:06:41 PM,User2,yahoo-mail.com,Allowed,18051,Webmail,None,0
27,2018/03/27,2:07:01 PM,User1,linkedin.com,Allowed,16074,Social Media,None,0
28,2018/03/27,2:08:51 PM,User2,facebook.com,Allowed,24268,Social Media,None,0
29,2018/03/27,2:16:24 PM,User4,how-to.com/make-money,Allowed,8159,General Browsing,None,0
30,2018/03/27,2:29:16 PM,User1,flowershop22.110mb.com,Not allowed to browse this Malicious URL,246,Suspected Spyware or Adware,None,90
31,2018/03/27,2:54:41 PM,User3,vimeo.com/funny_videos,Allowed,179852,Videos,None,0
32,2018/03/27,2:57:01 PM,User3,www.gyd900yhllcfci.info,Not allowed to browse this Malicious URL,287,Suspected Spyware or Adware,None,70
33,2018/03/27,3:26:47 PM,User2,ieee.org,Allowed,12831,Research,None,0
34,2018/03/27,3:29:16 PM,User1,flowershop22.110mb.com,Not allowed to browse this Malicious URL,246,Suspected Spyware or Adware,None,90
35,2018/03/27,3:46:14 PM,User3,netflix.com,Allowed,426397,Videos,None,0
36,2018/03/27,3:51:09 PM,User1,ACM.org,Allowed,14263,Research,None,0
37,2018/03/27,3:57:01 PM,User3,www.gyd900yhllcfci.info,Not allowed to browse this Malicious URL,287,Suspected Spyware or Adware,None,70
38,2018/03/27,4:01:58 PM,User4,self-help.com/how-to-get-rich-quick/,Allowed,8159,General Browsing,None,0
39,2018/03/27,4:29:16 PM,User1,flowershop22.110mb.com,Not allowed to browse this Malicious URL,246,Suspected Spyware or Adware,None,90
40,2018/03/27,4:48:24 PM,User2,yahoo-mail.com,Allowed,18051,Webmail,None,0
41,2018/03/27,4:49:16 PM,User4,hotmail.com,Allowed,8159,Webmail,None,0
42,2018/03/27,4:57:01 PM,User3,www.gyd900yhllcfci.info,Not allowed to browse this Malicious URL,287,Suspected Spyware or Adware,None,70
43,2018/03/27,4:57:42 PM,User1,gmail.com,Allowed,8166,Webmail,None,0
44,2018/03/27,4:59:16 PM,User3,linkedin.com,Allowed,16074,Social Media,None,0
45,2018/03/27,4:59:37 PM,User2,linkedin.com,Allowed,16074,Social Media,None,0
46,2018/03/27,5:02:36 PM,User3,facebook.com,Allowed,24268,Social Media,None,0
47,2018/03/28,7:57:24 AM,User2,yahoo-mail.com,Allowed,16074,Webmail,None,0
48,2018/03/28,7:59:42 AM,User1,gmail.com,Allowed,18051,Webmail,None,0
49,2018/03/28,8:04:49 AM,User3,twitter.com,Allowed,8166,Social Media,None,0
50,2018/03/28,8:06:04 AM,User3,pinterest.com,Allowed,27935,Social Media,None,0
51,2018/03/28,8:09:04 AM,User3,linkedin.com,Allowed,8051,Social Media,None,0
52,2018/03/28,8:14:36 AM,User4,hotmail.com,Allowed,8159,Webmail,None,0
53,2018/03/28,8:16:24 AM,User4,wikileaks.org,Allowed,8159,General Browsing,None,0
54,2018/03/28,8:29:16 AM,User1,flowershop22.110mb.com,Not allowed to browse this Malicious URL,246,Suspected Spyware or Adware,None,90
55,2018/03/28,8:38:53 AM,User1,sabs.co.za,Allowed,12869,Government,None,0
56,2018/03/28,8:47:46 AM,User2,www.journals.elsevier.com/energy-research-and-social-science/,Allowed,17157,Research,None,0
57,2018/03/28,8:53:17 AM,User1,www.journals.elsevier.com/energy-research-and-social-science/,Allowed,17157,Research,None,0
58,2018/03/28,8:53:36 AM,User4,anonofficial.com,Allowed,16074,General Browsing,None,0
59,2018/03/28,8:57:01 AM,User3,www.gyd900yhllcfci.info,Not allowed to browse this Malicious URL,287,Suspected Spyware or Adware,None,70
60,2018/03/28,9:14:14 AM,User2,saiee.org.za,Allowed,24268,Research,None,0
61,2018/03/28,9:18:04 AM,User3,facebook.com,Allowed,24268,Social Media,None,0
62,2018/03/28,9:29:16 AM,User1,flowershop22.110mb.com,Not allowed to browse this Malicious URL,246,Suspected Spyware or Adware,None,90
63,2018/03/28,9:36:24 AM,User4,how-to.com/steal-company-secrets,Allowed,8159,General Browsing,None,0
64,2018/03/28,9:42:47 AM,User4,how-to.com/anonymous-emails,Allowed,3579,General Browsing,None,0
65,2018/03/28,9:57:01 AM,User3,www.gyd900yhllcfci.info,Not allowed to browse this Malicious URL,287,Suspected Spyware or Adware,None,70
66,2018/03/28,9:57:41 AM,User4,en.wikipedia.org/wiki/The_Anarchist_Cookbook,Allowed,17157,General Browsing,None,0
67,2018/03/28,10:24:14 AM,User2,ACM.org,Allowed,12869,Research,None,0
68,2018/03/28,10:29:16 AM,User1,flowershop22.110mb.com,Not allowed to browse this Malicious URL,246,Suspected Spyware or Adware,None,90
69,2018/03/28,10:31:04 AM,User3,funnyflashgames.com,Allowed,147082,General Browsing,None,0
70,2018/03/28,10:46:24 AM,User4,wikileaks.org,Allowed,8159,General Browsing,None,0
71,2018/03/28,10:57:01 AM,User3,www.gyd900yhllcfci.info,Not allowed to browse this Malicious URL,287,Suspected Spyware or Adware,None,70
72,2018/03/28,11:21:53 AM,User4,anonofficial.com,Allowed,16074,General Browsing,None,0
73,2018/03/28,11:29:16 AM,User1,flowershop22.110mb.com,Not allowed to browse this Malicious URL,246,Suspected Spyware or Adware,None,90
74,2018/03/28,11:57:01 AM,User3,www.gyd900yhllcfci.info,Not allowed to browse this Malicious URL,287,Suspected Spyware or Adware,None,70
75,2018/03/28,11:57:01 AM,User3,www.gyd900yhllcfci.info,Not allowed to browse this Malicious URL,287,Suspected Spyware or Adware,None,70
76,2018/03/28,11:57:24 AM,User2,linkedin.com,Allowed,16074,Social Media,None,0
77,2018/03/28,12:01:46 PM,User4,hotmail.com,Allowed,8159,Webmail,None,0
78,2018/03/28,12:02:53 PM,User1,gmail.com,Allowed,8166,Webmail,None,0
79,2018/03/28,12:29:16 PM,User1,flowershop22.110mb.com,Not allowed to browse this Malicious URL,246,Suspected Spyware or Adware,None,90
80,2018/03/28,12:57:01 PM,User3,www.gyd900yhllcfci.info,Not allowed to browse this Malicious URL,287,Suspected Spyware or Adware,None,70
81,2018/03/28,1:26:24 PM,User3,youtube.com/search?funny_videos,Allowed,74952,General Browsing,None,0
82,2018/03/28,1:29:16 PM,User1,flowershop22.110mb.com,Not allowed to browse this Malicious URL,246,Suspected Spyware or Adware,None,90
